iter	Passed	Remaining
0	203	203632
1	224	111835
2	253	84246
3	282	70231
4	287	57238
5	310	51405
6	332	47104
7	358	44452
8	382	42149
9	404	40083
10	429	38638
11	454	37424
12	478	36299
13	502	35360
14	523	34401
15	547	33642
16	570	32960
17	596	32525
18	624	32263
19	649	31840
20	679	31689
21	703	31266
22	717	30484
23	742	30185
24	769	30002
25	794	29773
26	822	29632
27	856	29736
28	887	29717
29	917	29669
30	946	29576
31	975	29517
32	1004	29444
33	1032	29327
34	1057	29156
35	1086	29107
36	1114	29004
37	1142	28927
38	1170	28831
39	1196	28706
40	1226	28694
41	1255	28641
42	1282	28535
43	1305	28373
44	1329	28214
45	1355	28108
46	1380	27992
47	1402	27818
48	1426	27682
49	1449	27549
50	1472	27397
51	1497	27291
52	1522	27197
53	1546	27084
54	1569	26971
55	1594	26874
56	1620	26816
57	1644	26711
58	1677	26753
59	1699	26622
60	1722	26512
61	1748	26445
62	1771	26342
63	1794	26246
64	1817	26142
65	1840	26048
66	1863	25945
67	1889	25891
68	1910	25781
69	1934	25706
70	1958	25623
71	1981	25533
72	2004	25449
73	2026	25360
74	2051	25307
75	2075	25238
76	2098	25159
77	2121	25076
78	2145	25015
79	2170	24961
80	2193	24887
81	2216	24812
82	2239	24741
83	2263	24685
84	2286	24613
85	2308	24534
86	2333	24485
87	2357	24430
88	2380	24365
89	2404	24316
90	2427	24249
91	2450	24180
92	2474	24129
93	2499	24093
94	2521	24022
95	2545	23973
96	2569	23922
97	2593	23869
98	2618	23833
99	2644	23802
100	2671	23782
101	2701	23787
102	2727	23754
103	2752	23712
104	2778	23682
105	2800	23620
106	2825	23577
107	2847	23519
108	2870	23462
109	2894	23422
110	2917	23365
111	2939	23309
112	2963	23265
113	2986	23214
114	3009	23161
115	3031	23101
116	3055	23059
117	3079	23018
118	3102	22972
119	3126	22929
120	3149	22880
121	3174	22845
122	3198	22806
123	3220	22751
124	3243	22707
125	3265	22648
126	3288	22607
127	3312	22568
128	3336	22529
129	3358	22479
130	3382	22435
131	3404	22388
132	3428	22347
133	3451	22304
134	3473	22257
135	3500	22240
136	3528	22224
137	3554	22202
138	3578	22166
139	3604	22143
140	3631	22123
141	3655	22089
142	3682	22071
143	3705	22029
144	3728	21986
145	3753	21957
146	3777	21917
147	3801	21885
148	3824	21845
149	3847	21800
150	3870	21763
151	3892	21715
152	3915	21674
153	3938	21634
154	3961	21598
155	3989	21582
156	4010	21536
157	4032	21491
158	4055	21451
159	4079	21416
160	4102	21378
161	4126	21344
162	4149	21308
163	4173	21275
164	4200	21254
165	4224	21222
166	4247	21186
167	4273	21166
168	4298	21134
169	4323	21107
170	4346	21071
171	4368	21029
172	4392	20995
173	4415	20959
174	4438	20924
175	4461	20886
176	4484	20852
177	4508	20818
178	4530	20780
179	4553	20741
180	4575	20704
181	4598	20667
182	4624	20645
183	4650	20623
184	4676	20601
185	4699	20567
186	4724	20538
187	4747	20507
188	4770	20469
189	4794	20439
190	4818	20410
191	4841	20372
192	4863	20337
193	4886	20302
194	4910	20271
195	4933	20237
196	4956	20202
197	4979	20168
198	5001	20131
199	5023	20095
200	5047	20064
201	5069	20028
202	5093	19996
203	5116	19962
204	5138	19927
205	5163	19901
206	5188	19875
207	5212	19846
208	5236	19819
209	5258	19781
210	5287	19771
211	5313	19749
212	5338	19724
213	5363	19699
214	5387	19670
215	5413	19649
216	5437	19620
217	5462	19593
218	5484	19557
219	5506	19523
220	5530	19495
221	5553	19460
222	5575	19427
223	5599	19399
224	5624	19371
225	5649	19349
226	5675	19326
227	5704	19314
228	5726	19280
229	5750	19252
230	5773	19219
231	5797	19191
232	5823	19168
233	5847	19140
234	5868	19104
235	5901	19103
236	5947	19145
237	5987	19168
238	6013	19147
239	6040	19127
240	6063	19097
241	6087	19067
242	6110	19036
243	6133	19005
244	6157	18973
245	6180	18944
246	6203	18911
247	6227	18882
248	6252	18857
249	6277	18831
250	6301	18805
251	6326	18778
252	6351	18754
253	6374	18721
254	6398	18692
255	6420	18658
256	6447	18641
257	6477	18629
258	6503	18606
259	6532	18591
260	6558	18568
261	6580	18536
262	6604	18506
263	6627	18475
264	6654	18456
265	6677	18425
266	6703	18402
267	6725	18369
268	6751	18346
269	6774	18315
270	6798	18287
271	6822	18260
272	6847	18234
273	6870	18204
274	6894	18176
275	6917	18145
276	6941	18119
277	6966	18091
278	6987	18058
279	7009	18025
280	7034	17998
281	7057	17968
282	7080	17938
283	7105	17912
284	7127	17882
285	7149	17849
286	7173	17820
287	7196	17790
288	7219	17761
289	7241	17730
290	7266	17704
291	7290	17677
292	7314	17649
293	7337	17620
294	7361	17591
295	7385	17564
296	7408	17535
297	7429	17502
298	7452	17473
299	7476	17444
300	7498	17412
301	7521	17383
302	7545	17357
303	7568	17328
304	7591	17299
305	7614	17269
306	7636	17237
307	7658	17206
308	7685	17186
309	7716	17174
310	7738	17143
311	7762	17117
312	7784	17087
313	7809	17061
314	7834	17036
315	7859	17011
316	7883	16986
317	7906	16955
318	7929	16928
319	7952	16899
320	7976	16871
321	8000	16844
322	8023	16817
323	8045	16786
324	8067	16755
325	8090	16726
326	8114	16700
327	8138	16673
328	8161	16646
329	8185	16619
330	8207	16589
331	8228	16556
332	8253	16531
333	8276	16502
334	8299	16474
335	8322	16446
336	8347	16423
337	8371	16396
338	8397	16374
339	8421	16348
340	8444	16318
341	8467	16291
342	8491	16264
343	8514	16237
344	8538	16211
345	8562	16184
346	8584	16155
347	8607	16126
348	8631	16101
349	8663	16088
350	8696	16078
351	8722	16058
352	8747	16032
353	8768	16001
354	8792	15975
355	8817	15950
356	8841	15923
357	8865	15898
358	8890	15873
359	8912	15845
360	8936	15818
361	8961	15794
362	8985	15767
363	9008	15739
364	9030	15710
365	9053	15683
366	9076	15655
367	9100	15629
368	9123	15601
369	9146	15573
370	9169	15545
371	9192	15519
372	9215	15490
373	9238	15463
374	9262	15436
375	9285	15410
376	9307	15381
377	9330	15353
378	9352	15324
379	9377	15300
380	9402	15275
381	9426	15249
382	9448	15220
383	9470	15192
384	9494	15166
385	9517	15139
386	9540	15111
387	9563	15085
388	9586	15056
389	9608	15028
390	9630	15000
391	9652	14971
392	9677	14947
393	9700	14920
394	9728	14899
395	9751	14873
396	9773	14845
397	9796	14817
398	9821	14794
399	9844	14766
400	9870	14743
401	9892	14715
402	9917	14691
403	9941	14666
404	9967	14642
405	9990	14617
406	10014	14591
407	10037	14564
408	10061	14538
409	10084	14511
410	10107	14485
411	10130	14457
412	10153	14431
413	10177	14406
414	10201	14380
415	10227	14357
416	10255	14337
417	10284	14319
418	10314	14302
419	10355	14300
420	10388	14287
421	10426	14281
422	10466	14277
423	10504	14270
424	10543	14264
425	10580	14255
426	10632	14267
427	10684	14279
428	10727	14278
429	10766	14271
430	10803	14263
431	10846	14261
432	10891	14261
433	10940	14267
434	10978	14259
435	11013	14246
436	11045	14230
437	11083	14221
438	11121	14212
439	11170	14217
440	11213	14213
441	11244	14195
442	11275	14177
443	11306	14159
444	11342	14146
445	11375	14130
446	11409	14114
447	11439	14095
448	11473	14079
449	11506	14063
450	11542	14050
451	11574	14032
