iter	Passed	Remaining
0	97	97896
1	99	49441
2	100	33340
3	101	25292
4	102	20394
5	103	17134
6	104	14851
7	106	13161
8	107	11847
9	109	10828
10	110	9940
11	111	9190
12	113	8622
13	114	8079
14	115	7604
15	116	7174
16	117	6804
17	118	6467
18	119	6169
19	121	5964
20	122	5719
21	123	5502
22	124	5293
23	125	5103
24	126	4926
25	127	4770
26	128	4632
27	129	4495
28	130	4363
29	131	4241
30	132	4130
31	133	4052
32	135	3957
33	136	3865
34	136	3776
35	137	3687
36	138	3607
37	140	3553
38	141	3482
39	142	3411
40	143	3362
41	144	3301
42	146	3252
43	147	3195
44	147	3139
45	148	3084
46	149	3033
47	150	2992
48	152	2952
49	153	2909
50	154	2871
51	155	2828
52	155	2785
53	156	2744
54	157	2706
55	159	2686
56	160	2654
57	161	2623
58	162	2596
59	163	2567
60	166	2560
61	168	2542
62	169	2518
63	170	2491
64	171	2464
65	172	2436
66	173	2420
67	174	2398
68	176	2375
69	176	2350
70	177	2326
71	178	2303
72	179	2280
73	180	2263
74	182	2245
75	183	2226
76	184	2210
77	185	2198
78	186	2179
79	188	2162
80	189	2151
81	190	2135
82	191	2114
83	192	2100
84	193	2082
85	194	2064
86	195	2051
87	196	2039
88	197	2026
89	199	2013
90	200	1998
91	200	1983
92	201	1968
93	203	1957
94	204	1946
95	205	1934
96	206	1921
97	207	1908
98	208	1897
99	209	1885
100	211	1879
101	212	1870
102	213	1860
103	214	1848
104	215	1836
105	216	1828
106	218	1820
107	219	1811
108	220	1802
109	221	1792
110	222	1782
111	223	1771
112	224	1761
113	225	1755
114	227	1750
115	228	1743
116	229	1733
117	230	1725
118	231	1716
119	234	1717
120	235	1710
121	236	1703
122	237	1694
123	238	1685
124	239	1677
125	240	1670
126	241	1662
127	243	1656
128	244	1649
129	245	1641
130	246	1638
131	247	1630
132	249	1627
133	250	1620
134	252	1619
135	253	1611
136	254	1605
137	256	1600
138	257	1593
139	258	1588
140	259	1582
141	260	1574
142	261	1568
143	262	1561
144	264	1557
145	265	1551
146	266	1546
147	267	1540
148	268	1535
149	269	1529
150	271	1525
151	272	1520
152	273	1516
153	275	1511
154	276	1504
155	277	1498
156	279	1498
157	280	1494
158	281	1489
159	282	1483
160	283	1475
161	285	1474
162	286	1471
163	287	1466
164	288	1461
165	289	1456
166	290	1451
167	292	1446
168	292	1440
169	294	1436
170	295	1431
171	296	1429
172	298	1424
173	298	1419
174	299	1413
175	301	1410
176	302	1408
177	304	1404
178	305	1401
179	306	1397
180	307	1393
181	309	1390
182	310	1386
183	311	1381
184	312	1377
185	313	1372
186	314	1367
187	316	1365
188	317	1364
189	319	1361
190	320	1357
191	321	1353
192	322	1348
193	323	1345
194	325	1342
195	326	1338
196	327	1334
197	328	1330
198	329	1325
199	330	1321
200	331	1318
201	332	1315
